iter	RMSE
0	282836.2598
1	271826.4804
2	261387.5272
3	251191.1984
4	241878.5567
5	232874.3461
6	224361.1079
7	216444.7118
8	208916.493
9	201870.6012
10	195710.4532
11	189239.1908
12	183342.8754
13	177831.3856
14	172445.2654
15	167498.5945
16	163101.5298
17	158971.3727
18	155100.7993
19	151418.1213
20	147923.0042
21	144530.1237
22	141381.7789
23	138597.7126
24	136081.057
25	133591.2199
26	131334.2546
27	129262.9449
28	127113.0891
29	125177.9251
30	123232.8711
31	121421.0795
32	119808.1741
33	118420.4899
34	116940.2289
35	115620.0728
36	114298.5651
37	113290.7544
38	112145.2188
39	111135.1151
40	110149.8748
41	109228.9056
42	108397.6547
43	107620.1861
44	106910.7221
45	106202.5455
46	105539.1603
47	104980.7153
48	104393.7743
49	103812.1289
50	103309.2246
51	102731.6417
52	102309.2284
53	101907.9183
54	101525.0357
55	101227.6788
56	100830.6502
57	100557.8412
58	100164.3702
59	99862.58357
60	99621.76743
61	99280.29096
62	98983.38289
63	98743.31912
64	98507.79982
65	98228.20606
66	97949.45219
67	97706.70778
68	97476.25345
69	97329.66233
70	97179.53865
71	97002.60761
72	96793.95038
73	96621.01161
74	96447.21126
75	96240.77589
76	96105.6437
77	95974.56231
78	95773.70752
79	95633.42478
80	95445.02714
81	95255.7026
82	95177.99925
83	95081.21708
84	94942.02839
85	94798.8044
86	94654.69232
87	94548.10072
88	94448.90039
89	94346.75019
90	94236.22298
91	94093.99653
92	94025.07576
93	93896.47987
94	93792.5891
95	93707.78198
96	93590.72738
97	93453.8837
98	93282.39575
99	93199.40855
100	93117.83824
101	92959.89249
102	92875.36358
103	92705.4322
104	92642.17615
105	92510.74951
106	92428.71608
107	92320.05326
108	92189.56425
109	92113.07342
110	92007.0365
111	91913.38052
112	91808.94828
113	91730.40128
114	91610.48303
115	91550.81209
116	91498.77314
117	91483.95107
118	91451.80591
119	91384.98672
120	91328.9295
121	91230.02438
122	91112.49201
123	91035.66458
124	90949.54869
125	90906.66523
126	90815.69827
127	90758.76171
128	90674.36025
129	90597.75641
130	90532.75737
131	90459.0274
132	90385.11338
133	90347.08258
134	90211.05205
135	90113.85745
136	90037.58015
137	89863.20985
138	89797.4003
139	89722.4764
140	89611.92328
141	89507.48014
142	89411.0951
143	89343.13844
144	89269.79583
145	89238.43473
146	89177.79118
147	89113.96222
148	89018.17118
149	88905.96183
150	88827.81282
151	88774.88812
152	88751.42221
153	88640.72237
154	88536.97829
155	88457.72958
156	88361.3333
157	88278.10561
158	88166.39937
159	88035.00443
160	87970.45858
161	87918.09409
162	87847.85465
163	87810.53411
164	87737.8847
165	87657.91679
166	87557.45761
167	87494.16023
168	87411.5396
169	87323.04559
170	87256.51597
171	87140.28226
172	87066.81538
173	86970.69644
174	86886.60365
175	86734.43869
176	86648.91776
177	86513.57295
178	86420.91087
179	86337.70928
180	86284.35431
181	86208.91208
182	86135.99119
183	86074.28019
184	86009.19425
185	85978.4435
186	85899.25648
187	85816.0838
188	85749.62604
189	85666.55633
190	85581.70225
191	85532.0295
192	85471.83836
193	85411.4344
194	85322.15647
195	85216.54833
196	85149.31577
197	85064.67095
198	85002.38356
199	84949.25518
200	84872.84982
201	84799.48626
202	84723.11058
203	84657.00683
204	84554.53972
205	84490.43502
206	84411.55261
207	84336.91305
208	84271.35143
209	84214.12502
210	84112.34244
211	84057.94398
212	83996.68584
213	83934.81711
214	83876.00729
215	83815.97076
216	83776.99319
217	83705.67407
218	83644.60275
219	83584.2435
220	83517.90642
221	83457.51542
222	83416.82438
223	83376.36179
224	83287.26643
225	83220.54854
226	83150.47978
227	83077.5809
228	82989.32797
229	82929.9883
230	82882.92056
231	82817.13003
232	82743.20798
233	82687.16834
234	82656.60586
235	82600.64714
236	82535.24025
237	82455.65621
238	82367.90516
239	82301.87082
240	82276.74862
241	82223.3216
242	82165.94722
243	82117.43918
244	82042.2872
245	81986.15313
246	81960.77922
247	81894.98651
248	81835.99085
249	81796.48821
250	81752.86603
251	81686.52305
252	81612.65203
253	81554.42574
254	81497.46674
255	81438.17223
256	81396.16788
257	81340.93175
258	81276.45799
259	81230.55856
260	81202.15057
261	81139.28561
262	81093.51317
263	81052.25278
264	81018.12061
265	80953.97192
266	80917.93432
267	80864.4847
268	80808.85641
269	80770.65102
270	80732.56932
271	80688.48834
272	80651.16109
273	80597.06791
274	80514.07128
275	80467.08116
276	80410.03459
277	80350.03152
278	80299.37918
279	80237.98834
280	80178.49199
281	80116.59665
282	80073.4257
283	80009.53735
284	79960.74945
285	79926.63459
286	79855.96168
287	79815.56905
288	79761.48879
289	79721.32563
290	79671.0832
291	79616.04411
292	79599.08499
293	79560.17294
294	79501.82767
295	79454.99998
296	79423.44274
297	79377.12654
298	79321.38381
299	79271.11754
300	79229.93036
301	79186.8564
302	79129.14523
303	79089.84203
304	79047.73322
305	78994.69316
306	78955.45584
307	78908.33007
308	78842.72429
309	78797.62468
310	78741.43108
311	78704.78346
312	78655.55293
313	78590.82719
314	78553.82276
315	78534.55771
316	78489.23126
317	78466.13545
318	78429.38713
319	78380.73317
320	78321.1154
321	78274.46965
322	78182.77242
323	78142.8029
324	78110.42291
325	78050.62552
326	77972.62841
327	77926.81153
328	77867.34947
329	77789.47793
330	77763.23423
331	77719.71299
332	77695.59888
333	77643.63965
334	77619.93946
335	77580.95707
336	77552.38123
337	77526.63052
338	77496.81344
339	77457.48864
340	77405.03514
341	77338.23593
342	77302.06406
343	77260.57802
344	77200.67651
345	77154.85911
346	77116.52406
347	77075.77058
348	77015.3695
349	76980.95471
350	76931.49459
351	76893.90798
352	76860.84321
353	76812.00996
354	76747.95904
355	76701.25691
356	76657.38205
357	76564.18364
358	76532.00368
359	76499.22956
360	76445.80475
361	76375.36248
362	76354.6954
363	76300.38879
364	76269.36472
365	76204.34948
366	76168.50979
367	76131.20407
368	76096.07605
369	76073.85872
370	76041.55814
371	76006.10662
372	75964.02927
373	75918.04836
374	75885.88195
375	75840.47493
376	75788.70199
377	75734.10934
378	75664.36436
379	75638.86303
380	75586.87178
381	75535.87068
382	75494.90775
383	75459.71229
384	75416.11772
385	75373.45082
386	75343.6819
387	75295.00975
388	75261.75628
389	75192.02509
390	75155.34754
391	75118.60533
392	75090.27419
393	75063.73932
394	75004.63811
395	74989.87685
396	74938.30872
397	74909.15799
398	74857.43914
399	74815.1944
400	74767.62053
401	74730.80955
402	74700.55814
403	74675.27166
404	74640.01288
405	74586.98905
406	74550.78078
407	74512.06809
408	74479.02258
409	74455.8013
410	74412.36765
411	74381.11253
412	74339.12168
413	74295.23935
414	74246.88957
415	74200.64849
416	74158.36579
417	74127.66967
418	74103.14783
419	74078.70028
420	74058.39579
421	74029.31694
422	74006.79873
423	73954.66945
424	73928.09475
425	73908.00042
426	73889.74893
427	73854.64052
428	73824.53449
429	73811.20884
430	73764.56429
431	73729.59859
432	73708.87546
433	73642.06873
434	73591.01674
435	73557.34331
436	73519.50573
437	73483.98491
438	73457.71122
439	73434.89489
440	73383.97789
441	73357.79928
442	73318.55697
443	73297.02155
444	73268.37184
445	73246.26376
446	73217.98201
447	73184.53244
448	73153.09364
449	73130.30536
450	73109.69497
451	73058.22872
452	73012.56459
453	72987.41356
454	72954.67142
455	72914.44765
456	72892.07969
457	72871.14685
458	72841.35763
459	72801.47611
460	72767.34982
461	72731.5245
462	72695.57305
463	72664.29715
464	72636.97631
465	72620.173
466	72600.32298
467	72575.47131
468	72528.39611
469	72501.09096
470	72462.45816
471	72428.40399
472	72401.57388
473	72382.29626
474	72345.24926
475	72320.48452
476	72301.86857
477	72268.47844
478	72231.1704
479	72166.69237
480	72131.67783
481	72094.90861
